"","...1","...2","order_id","customer_id","restaurant_name","cuisine_type","cost_of_the_order","day_of_the_week","rating","food_preparation_time","delivery_time"
"1",1,1,1477147,337525,"Hangawi","Korean",30.75,"Weekend","Not given",25,20
"2",2,2,1477685,358141,"Blue Ribbon Sushi Izakaya","Japanese",12.08,"Weekend","Not given",25,23
"3",3,3,1477070,66393,"Cafe Habana","Mexican",12.23,"Weekday","5",23,28
"4",4,4,1477334,106968,"Blue Ribbon Fried Chicken","American",29.2,"Weekend","3",25,15
"5",5,5,1478249,76942,"Dirty Bird to Go","American",11.59,"Weekday","4",25,24
"6",6,6,1477224,147468,"Tamarind TriBeCa","Indian",25.22,"Weekday","3",20,24
"7",7,7,1477894,157711,"The Meatball Shop","Italian",6.07,"Weekend","Not given",28,21
"8",8,8,1477859,89574,"Barbounia","Mediterranean",5.97,"Weekday","3",33,30
"9",9,9,1477174,121706,"Anjappar Chettinad","Indian",16.44,"Weekday","5",21,26
"10",10,10,1477311,39705,"Bukhara Grill","Indian",7.18,"Weekday","5",29,26
"11",11,11,1477895,143926,"Big Wong Restaurant <U+008C>_<a4><be><U+047C>","Chinese",5.92,"Weekday","Not given",34,28
"12",12,12,1478437,221206,"Empanada Mama (closed)","Mexican",8.1,"Weekend","5",23,22
"13",13,13,1476966,129969,"Blue Ribbon Fried Chicken","American",24.3,"Weekend","5",23,17
"14",14,14,1477449,104548,"Pylos","Mediterranean",11.3,"Weekend","3",24,23
"15",15,15,1478198,62667,"Lucky's Famous Burgers","American",12.13,"Weekday","Not given",23,30
"16",16,16,1477414,66222,"Shake Shack","American",16.2,"Weekend","5",33,25
"17",17,17,1477486,104555,"Sushi of Gari","Japanese",16.98,"Weekend","Not given",30,16
"18",18,18,1477373,139885,"Blue Ribbon Sushi Izakaya","Japanese",33.03,"Weekend","Not given",21,22
"19",19,19,1477138,47280,"RedFarm Hudson","Chinese",14.12,"Weekend","4",25,24
"20",20,20,1477354,67487,"Blue Ribbon Sushi","Japanese",16.2,"Weekend","4",35,26
"21",21,21,1478296,250494,"Five Guys Burgers and Fries","American",24.2,"Weekend","4",21,24
"22",22,22,1478226,137565,"Shake Shack","American",15.91,"Weekend","Not given",25,20
"23",23,23,1478287,150599,"Shake Shack","American",29.1,"Weekday","5",21,30
"24",24,24,1478014,54630,"Tortaria","Mexican",8.92,"Weekend","Not given",33,16
"25",25,25,1476714,363783,"Cafe Mogador","Middle Eastern",15.86,"Weekday","Not given",32,29
"26",26,26,1476693,41877,"Cafe Mogador","Middle Eastern",29.1,"Weekday","5",20,29
"27",27,27,1476995,371590,"The Meatball Shop","Italian",21.88,"Weekday","5",24,27
"28",28,28,1476844,175290,"Otto Enoteca Pizzeria","Italian",14.02,"Weekend","Not given",24,16
"29",29,29,1477015,76686,"Vezzo Thin Crust Pizza","Italian",9.17,"Weekend","Not given",21,24
"30",30,30,1476889,149984,"Sushi of Gari 46","Japanese",12.18,"Weekday","Not given",20,29
"31",31,31,1478289,318874,"The Kati Roll Company","Indian",31.33,"Weekend","5",28,25
"32",32,32,1477699,302790,"Klong","Thai",29.05,"Weekend","5",35,24
"33",33,33,1476855,317794,"5 Napkin Burger","American",8.39,"Weekday","Not given",35,24
"34",34,34,1477748,105349,"TAO","Japanese",9.12,"Weekend","Not given",34,18
"35",35,35,1478244,181782,"Parm","Italian",29.1,"Weekend","5",30,26
"36",36,36,1478310,65224,"Sushi Samba","Japanese",15.47,"Weekend","Not given",32,26
"37",37,37,1478017,148649,"Blue Ribbon Sushi","Japanese",16.01,"Weekday","4",23,31
"38",38,38,1476871,118709,"The Meatball Shop","Italian",24.3,"Weekday","4",31,29
"39",39,39,1477999,208020,"Haru Gramercy Park","Japanese",29.83,"Weekday","5",20,32
"40",40,40,1476891,220693,"Shake Shack","American",19.89,"Weekend","Not given",27,19
"41",41,41,1477425,378482,"Chipotle Mexican Grill $1.99 Delivery","Mexican",19.35,"Weekend","4",21,18
"42",42,42,1478143,337525,"TAO","Japanese",33.22,"Weekend","Not given",23,19
"43",43,43,1477267,133637,"RedFarm Broadway","Chinese",24.25,"Weekend","5",22,15
"44",44,44,1477728,107909,"Cafeteria","American",16.44,"Weekend","Not given",33,22
"45",45,45,1476908,365237,"Five Guys Burgers and Fries","American",22.75,"Weekend","5",30,20
"46",46,46,1476581,322162,"The Meatball Shop","Italian",6.74,"Weekend","5",29,23
"47",47,47,1476930,198802,"DuMont Burger","American",29.05,"Weekend","5",22,30
"48",48,48,1477621,122864,"Sarabeth's East","American",13.78,"Weekend","4",34,24
"49",49,49,1478354,52037,"Blue Ribbon Fried Chicken","American",19.89,"Weekday","Not given",27,24
"50",50,50,1477251,81110,"Hill Country Fried Chicken","Southern",16.93,"Weekend","5",33,21
"51",51,51,1477656,300003,"Bistango","Italian",21.88,"Weekend","Not given",21,19
"52",52,52,1477883,91817,"Blue Ribbon Fried Chicken","American",29.39,"Weekend","Not given",27,28
"53",53,53,1477205,112036,"TAO","Japanese",20.23,"Weekend","5",22,20
"54",54,54,1478107,73895,"RedFarm Broadway","Chinese",29.1,"Weekend","Not given",22,23
"55",55,55,1477760,130507,"Jack's Wife Freda","Mediterranean",22.75,"Weekend","3",35,29
"56",56,56,1476562,129486,"Mamoun's Falafel","Mediterranean",14.12,"Weekend","3",31,15
"57",57,57,1477692,313340,"Sushi of Gari 46","Japanese",14.6,"Weekday","3",24,24
"58",58,58,1477889,177250,"RedFarm Hudson","Chinese",12.23,"Weekday","5",25,33
"59",59,59,1477243,176234,"Prosperity Dumpling","Chinese",14.02,"Weekend","5",20,30
"60",60,60,1477560,371677,"Blue Ribbon Fried Chicken","American",6.79,"Weekday","Not given",33,28
"61",61,61,1476896,388918,"Blue Ribbon Fried Chicken","American",24.25,"Weekend","Not given",28,21
"62",62,62,1478327,68551,"Blue Ribbon Sushi Bar & Grill","Japanese",33.03,"Weekend","Not given",33,20
"63",63,63,1476820,152786,"Cafe Habana","Mexican",31.38,"Weekend","4",23,27
"64",64,64,1478121,62980,"Westville Hudson","American",8.34,"Weekday","Not given",22,26
"65",65,65,1478077,82041,"Shake Shack","American",33.03,"Weekday","Not given",22,32
"66",66,66,1478359,361616,"Blue Ribbon Brooklyn","American",24.2,"Weekday","3",22,32
"67",67,67,1476841,398426,"RedFarm Broadway","Chinese",12.46,"Weekend","4",24,20
"68",68,68,1477125,130820,"Nobu Next Door","Japanese",15.86,"Weekend","5",29,23
"69",69,69,1477915,200074,"Osteria Morini","Italian",14.55,"Weekend","Not given",34,22
"70",70,70,1477475,65009,"Blue Ribbon Fried Chicken","American",32.93,"Weekend","5",24,23
"71",71,71,1477932,170221,"Shake Shack","American",16.98,"Weekend","Not given",22,21
"72",72,72,1476651,58092,"Shake Shack","American",8,"Weekend","5",27,23
"73",73,73,1477730,50616,"Parm","Italian",13.05,"Weekend","Not given",28,27
"74",74,74,1477518,133202,"Sushi Samba","Japanese",29.05,"Weekend","5",31,16
"75",75,75,1477821,277898,"Haandi","Indian",5.67,"Weekday","4",23,31
"76",76,76,1477104,77341,"The Meatball Shop","Italian",16.93,"Weekend","Not given",30,25
"77",77,77,1477921,97079,"Benihana","Japanese",29.29,"Weekend","5",20,18
"78",78,78,1477938,150002,"The Kati Roll Company","Indian",16.15,"Weekend","5",20,29
"79",79,79,1476943,87472,"RedFarm Hudson","Chinese",22.75,"Weekend","Not given",31,30
"80",80,80,1477581,231061,"Han Dynasty","Chinese",13.34,"Weekend","4",34,27
"81",81,81,1477975,56722,"Shake Shack","American",9.75,"Weekend","5",33,25
"82",82,82,1477601,107909,"Cafeteria","American",6.69,"Weekday","4",21,32
"83",83,83,1477790,133617,"Shake Shack","American",4.75,"Weekday","4",35,28
